Name,Thickness (A),Relpermittivity,Z-Layer
FOX,3000,3.9,1
ILD,3100,4.2,2
IMD_1,2400,3.4967,3
IMD_2,3950,3.1408,4
IMD_3,3950,3.1408,5
IMD_4,3950,3.1408,6
IMD_5,3950,3.1408,7
IMD_6,3950,3.1408,8
IMD_7,3650,3.077,9
IMD_8,15200,4.3732,10
IMD_9,40650,4.2554,11
PASS1,750,8.1,12
PASS2,4000,4.2,13
PASS3,750,8.1,14
PASS4,2500,4.2,15
PASS5,4000,4.2,16
PASS6,6000,8.1,17
