Name, Thickness(nm), Er, Z
IMD_7bEQ,31400.000000,3.281745,1.000000
IMD_7c,500.000000,5.000000,2.000000
IMD_8a,6200.000000,4.200000,3.000000
IMD_8b,500.000000,8.100000,4.000000
IMD_8c,7750.000000,4.200000,5.000000
IMD_8d,750.000000,8.100000,6.000000
IMD_9a,7250.000000,4.200000,7.000000
IMD_9b,1100.000000,8.100000,8.000000
IMD_9c,32300.000000,4.200000,9.000000
PASS1,750.000000,8.100000,10.000000
PASS2,4000.000000,4.200000,11.000000
PASS3,750.000000,8.100000,12.000000
PASS4,2500.000000,4.200000,13.000000
PASS5,4000.000000,4.200000,14.000000
PASS6EQ,6000.000000,8.100000,15.000000
