Name, Thickness(nm), Er, Z
IMD_1dEQ,8500.000000,3.874737,1.000000
IMD_2a,950.000000,2.900000,2.000000
IMD_2b,2200.000000,2.900000,3.000000
IMD_2c,500.000000,5.000000,4.000000
IMD_2d,300.000000,4.200000,5.000000
IMD_3a,950.000000,2.900000,6.000000
IMD_3b,2200.000000,2.900000,7.000000
IMD_3c,500.000000,5.000000,8.000000
IMD_3d,300.000000,4.200000,9.000000
IMD_4a,950.000000,2.900000,10.000000
IMD_4b,2200.000000,2.900000,11.000000
IMD_4c,500.000000,5.000000,12.000000
IMD_4dEQ,85700.000000,4.236900,13.000000
