Name, Thickness(nm), Er, Z
IMD_7cEQ,31900.000000,3.299517,1.000000
IMD_8a,6200.000000,4.200000,2.000000
IMD_8b,500.000000,8.100000,3.000000
IMD_8c,7750.000000,4.200000,4.000000
IMD_8d,750.000000,8.100000,5.000000
IMD_9a,7250.000000,4.200000,6.000000
IMD_9b,1100.000000,8.100000,7.000000
IMD_9c,32300.000000,4.200000,8.000000
PASS1,750.000000,8.100000,9.000000
PASS2,4000.000000,4.200000,10.000000
PASS3,750.000000,8.100000,11.000000
PASS4,2500.000000,4.200000,12.000000
PASS5EQ,10000.000000,5.906250,13.000000
