Name, Thickness (A), Rel Permittivity, Z
FOXEQ,3000.000000,3.900000,1.000000
ILDEQ,3100.000000,4.200000,2.000000
IMD_1aEQ,41000.000000,3.523395,3.000000
IMD_9aEQ,7250.000000,4.200000,4.000000
IMD_9bEQ,1100.000000,8.100000,5.000000
IMD_9cEQ,32300.000000,4.200000,6.000000
PASS1EQ,18000.000000,5.254054,7.000000
