Name,Thickness,Z,Z-Layer
PO,100,0.16,1
M1,180,0.1399,2
M2,220,0.1399,3
M3,220,0.1399,4
M4,220,0.1399,5
M5,220,0.1399,6
M6,220,0.1399,7
M7,220,0.1399,8
MCB,200,0.1399,9
MCT,80,0.1399,10
M8,900,0.0218,11
M9,900,0.0218,12
M10,1450,0.021,13
