Name, Thickness(nm), Er, Z
IMD_4dEQ,2035.000000,3.587941,1.000000
IMD_5a,95.000000,2.900000,2.000000
IMD_5b,220.000000,2.290000,3.000000
IMD_5c,50.000000,5.000000,4.000000
IMD_5d,30.000000,4.200000,5.000000
IMD_6aEQ,8000.000000,4.388393,6.000000
