Name, Thickness(nm), Er, Z
IMD_3bEQ,1560.000000,3.437987,1.000000
IMD_3c,50.000000,5.000000,2.000000
IMD_3d,30.000000,4.200000,3.000000
IMD_4a,95.000000,29.000000,4.000000
IMD_4b,220.000000,2.900000,5.000000
IMD_4c,50.000000,5.000000,6.000000
IMD_4d,30.000000,4.200000,7.000000
IMD_5a,95.000000,2.900000,8.000000
IMD_5b,220.000000,2.290000,9.000000
IMD_5c,50.000000,5.000000,10.000000
IMD_5d,30.000000,4.200000,11.000000
IMD_6a,95.000000,2.900000,12.000000
IMD_6b,220.000000,2.900000,13.000000
IMD_6c,50.000000,5.000000,14.000000
IMD_6d,30.000000,4.200000,15.000000
IMD_7a,95.000000,2.900000,16.000000
IMD_7b,220.000000,2.900000,17.000000
IMD_7c,50.000000,5.000000,18.000000
IMD_8aEQ,7240.000000,4.586323,19.000000
