Name,Thickness,Z,Z-Layer
M1,300,3.9,1
M2,227.5,4.2,2
M3,10,4.5,3
M4,100,2.55,4
M5,27.5,5.3,5
M6,15,4.2,6
M7,57.5,2.55,7
M8,150,2.55,8
M9,27.5,5.3,9
M10,15,4.2,10
M11,57.5,2.55,11
